City,Population,Violent_Crime,Murder,Rape (Rev),Rape(Legal),Robbery,Agg Assault,Property_Crime,Burglary,Larceny,Vehicle Theft,Arson
Lynbrook Village,19506,15,0,1,,4,10,165,13,142,10,0
Lyons Village,3517,14,0,2,,5,7,157,31,124,2,1
Macedon Town and Village,9081,2,0,1,,0,1,41,8,33,0,0
Malone Village,5853,3,0,2,,1,0,186,33,152,1,1
Malverne Village,8549,1,0,,0,0,1,7,0,7,0,0
Mamaroneck Town,12226,1,0,,0,1,0,117,20,95,2,0
Mamaroneck Village,19309,20,0,,0,1,19,172,28,141,3,0
Manchester Village,1671,0,0,,0,0,0,1,1,0,0,0
Manlius Town,24577,15,0,1,,4,10,376,59,311,6,1
Marcellus Village,1783,1,0,1,,0,0,11,3,8,0,0
Marlborough Town,8738,8,0,,0,0,8,93,25,66,2,0
Massena Village,10785,22,0,4,,6,12,332,44,284,4,0
Maybrook Village,3157,0,0,0,,0,0,12,2,9,1,0
Mechanicville,5192,7,0,1,,0,6,61,16,44,1,1
Medina Village,5913,11,0,0,,4,7,151,39,108,4,0
Menands Village,4005,5,0,1,,2,2,118,9,106,3,0
Middleport Village,1798,0,0,,0,0,0,32,3,25,4,0
Middletown,27700,122,1,,0,45,76,828,162,644,22,2
Monroe Village,8627,7,0,1,,3,3,168,15,149,4,1
Montgomery Town,8959,5,0,0,,0,5,56,13,42,1,0
Montgomery Village,4481,1,0,,0,0,1,22,0,22,0,0
Monticello Village,6693,59,2,6,,18,33,290,118,172,0,0
Moravia Village,1261,2,0,,0,0,2,28,4,24,0,0
Moriah Town,3572,6,0,,0,0,6,6,0,6,0,0
Mount Hope Town,7173,0,0,0,,0,0,19,3,15,1,0
Mount Kisco Village,11112,26,0,0,,8,18,117,23,91,3,0
Mount Morris Village,2891,2,0,2,,0,0,80,12,67,1,2
Mount Pleasant Town,26931,9,0,,0,2,7,205,35,169,1,1
Mount Vernon,68442,490,6,29,,195,260,1031,251,695,85,0
Nassau Village,1119,0,0,0,,0,0,17,0,16,1,0
Newark Village,8908,34,0,10,,5,19,283,45,228,10,0
Newburgh,28378,411,1,14,,124,272,866,230,577,59,11
Newburgh Town,30826,26,1,1,,13,11,1401,75,1317,9,2
New Hartford Town and Village,20308,25,0,1,,12,12,776,43,729,4,0
New Paltz Town and Village,14074,28,1,,0,0,27,203,31,169,3,0
New Rochelle,80030,179,1,11,,73,94,1213,145,1020,48,0
New Windsor Town,26307,33,0,,0,6,27,529,82,428,19,1
New York,8473938,50564,333,2190,,16581,31460,135747,15916,112107,7724,
New York Mills Village,3323,7,0,,0,1,6,38,6,30,2,0
Niagara Falls,49300,581,3,26,,161,391,2641,650,1858,133,15
Niagara Town,8162,16,0,0,,7,9,397,35,354,8,0
Niskayuna Town,22245,7,0,2,,5,0,379,65,308,6,0
Norfolk Town,4558,1,0,0,,0,1,4,1,3,0,0
North Castle Town,12224,2,0,,0,1,1,63,9,52,2,0
North Greenbush Town,12152,14,0,2,,4,8,186,14,162,10,0
Northport Village,7406,3,0,,0,1,2,58,11,46,1,0
North Syracuse Village,6941,14,0,,0,3,11,95,15,76,4,0
North Tonawanda,30986,47,2,2,,15,28,481,116,354,11,18
Northville Village,1084,0,0,,0,0,0,0,0,0,0,0
Norwich,6985,23,0,7,,4,12,276,40,235,1,0
Nunda Town and Village,2992,0,0,0,,0,0,8,2,6,0,0
Ocean Beach Village,79,0,0,0,,0,0,24,3,21,0,0
Ogdensburg,10990,21,1,1,,2,17,434,72,359,3,5
Ogden Town,20198,17,0,2,,3,12,244,24,210,10,1
Old Brookville Village,2179,2,0,,0,0,2,50,4,44,2,0
Old Westbury Village,4600,2,0,,0,2,0,44,13,28,3,0
Olive Town,4353,2,0,0,,0,2,22,10,12,0,0
Oneida,11231,26,0,5,,2,19,451,66,384,1,3
Oneonta City,13961,26,0,8,,5,13,248,45,202,1,6
Orangetown Town,37677,33,0,2,,8,23,307,39,261,7,0
Orchard Park Town,29507,13,1,1,,4,7,392,71,308,13,3
Oriskany Village,1388,0,0,,0,0,0,9,1,8,0,0
Ossining Village,25455,55,1,,1,28,25,211,47,156,8,1
Oswego City,18113,50,0,12,,7,31,628,103,518,7,2
Owego Village,3794,11,0,3,,2,6,145,24,116,5,0
Oxford Village,1432,0,0,,0,0,0,26,3,23,0,0
Oyster Bay Cove Village,4248,0,0,,0,0,0,15,4,9,2,0
Palmyra Village,3451,0,0,0,,0,0,25,5,20,0,0
Peekskill,24083,54,0,2,,11,41,189,22,164,3,0
Pelham Manor Village,5586,4,0,0,,4,0,127,11,116,0,0
Pelham Village,7017,5,0,0,,3,2,74,8,65,1,0
Penn Yan Village,5087,3,0,,0,1,2,55,4,50,1,0
Perry Village,3599,7,0,2,,0,5,60,12,45,3,0
Phelps Village,1961,0,0,,0,0,0,14,3,11,0,0
Piermont Village,2565,2,0,,0,0,2,25,1,23,1,0
Plattekill Town,10274,4,0,0,,1,3,78,21,55,2,0
Pleasantville Village,7151,1,1,,0,0,0,7,1,6,0,0
Port Byron Village,1263,0,0,,0,0,0,3,0,3,0,0
Port Chester Village,29513,65,0,,0,34,31,502,53,436,13,0
Port Dickinson Village,1599,0,0,,0,0,0,29,5,23,1,
Port Jervis,8627,23,1,,0,7,15,293,59,232,2,0
Portville Village,992,0,0,,0,0,0,4,0,4,0,0
Port Washington,19094,5,0,,0,4,1,115,15,95,5,1
Potsdam Village,9775,3,0,0,,0,3,157,11,143,3,0
Poughkeepsie,30554,272,3,27,,95,147,668,165,497,6,4
Poughkeepsie Town,43599,52,0,4,,30,18,1414,99,1303,12,3
Pound Ridge Town,5234,3,0,0,,0,3,39,5,34,0,0
Pulaski Village,2345,2,0,,0,1,1,26,5,21,0,0
Quogue Village,982,0,0,,0,0,0,29,3,26,0,0
Ramapo Town,88881,64,0,6,,18,40,643,89,536,18,2
Red Hook Village,1967,0,0,,0,0,0,63,12,51,0,0
Rensselaer City,9575,14,0,,0,1,13,147,29,106,12,0
Rhinebeck Village,2631,2,0,,0,1,1,27,5,22,0,0
Rochester,210347,1765,27,190,,698,850,8856,2125,6058,673,135
Rockville Centre Village,24127,17,0,,0,10,7,194,8,174,12,0
Rome,32615,28,2,1,,7,18,625,156,450,19,2
